iter	RMSE
222	1.862590347
223	1.860500579
224	1.860323566
225	1.859489457
226	1.858003514
227	1.856502722
228	1.855076763
229	1.854028521
230	1.853839485
231	1.853659121
232	1.853512552
233	1.852656349
234	1.850587429
235	1.850424697
236	1.848490199
237	1.845855262
238	1.842008496
239	1.840469499
240	1.84034498
241	1.840068975
242	1.839939887
243	1.839005972
244	1.838893732
245	1.837265326
246	1.835872833
247	1.834014722
248	1.831599061
249	1.828891655
250	1.828771619
251	1.826058346
252	1.825941549
253	1.825289792
254	1.824450082
255	1.824339975
256	1.824114068
257	1.823338937
258	1.822125974
259	1.821281983
260	1.819791443
261	1.818389086
262	1.818291369
263	1.816388394
264	1.814069655
265	1.813249294
266	1.812137928
267	1.811223217
268	1.809410518
269	1.807661377
270	1.805198762
271	1.803196332
272	1.799554942
273	1.799467334
274	1.797979304
275	1.797894074
276	1.795718771
277	1.794986086
278	1.793560038
279	1.793475066
280	1.790912342
281	1.790384191
282	1.789262798
283	1.788083408
284	1.787170888
285	1.787095726
286	1.785784292
287	1.784233425
288	1.783736947
289	1.781837491
290	1.779597735
291	1.778534913
292	1.77776377
293	1.776751682
294	1.773319057
295	1.772041641
296	1.768772
297	1.767504066
298	1.766218315
299	1.765103278
300	1.762606587
301	1.761863555
302	1.760527133
303	1.759346344
304	1.758386458
305	1.755963107
306	1.754207866
307	1.753478459
308	1.752274165
309	1.75110538
310	1.750364616
311	1.747952048
312	1.745737649
313	1.74469672
314	1.742902164
315	1.742503686
316	1.741196151
317	1.740390575
318	1.739270308
319	1.739049093
320	1.736983782
321	1.73572134
322	1.734790597
323	1.73366251
324	1.732291887
325	1.731646644
326	1.730743147
327	1.730179658
328	1.730132836
329	1.728796635
330	1.727611146
331	1.726744252
332	1.725931725
333	1.724788484
334	1.724031754
335	1.721425178
336	1.719153038
337	1.717663907
338	1.716597189
339	1.715842734
340	1.714810387
341	1.714291532
342	1.712639169
343	1.712151526
344	1.711018069
345	1.707769659
346	1.706852199
347	1.704492099
348	1.703579352
349	1.703194514
350	1.702316628
351	1.701625437
352	1.699104333
353	1.698343384
354	1.697045878
355	1.69607159
356	1.694725624
357	1.693640926
358	1.69273959
359	1.691647948
360	1.688758982
361	1.686675856
362	1.685679197
363	1.684541916
364	1.683918521
365	1.682970618
366	1.682251611
367	1.681316803
368	1.680330702
369	1.678976881
370	1.677825893
371	1.677624316
372	1.675439625
373	1.673972169
374	1.673071191
375	1.671975005
376	1.670746825
377	1.669348092
378	1.668121369
379	1.667936212
380	1.666678874
381	1.665539845
382	1.664518728
383	1.663155887
384	1.662604872
385	1.661370348
386	1.660080966
387	1.657212209
388	1.657042873
389	1.655110871
390	1.655097891
391	1.65406722
392	1.652563949
393	1.651690989
394	1.650952843
395	1.649815404
396	1.648698504
397	1.64853661
398	1.647374378
399	1.646617039
400	1.646163293
401	1.64544195
402	1.644435047
403	1.643367025
404	1.642351061
405	1.640580438
406	1.64007064
407	1.637495493
408	1.636667781
409	1.635862463
410	1.634898906
411	1.632887974
412	1.63162016
413	1.630456355
414	1.629592579
415	1.628826465
416	1.62839089
417	1.625988414
418	1.624717325
419	1.623406429
420	1.621564845
421	1.621020908
422	1.620206158
423	1.61859585
424	1.617571466
425	1.617097127
426	1.616320381
427	1.61551585
428	1.614439837
429	1.613393401
430	1.61309161
431	1.611766898
432	1.610939986
433	1.609361677
434	1.608328045
435	1.607540246
436	1.606321053
437	1.605409097
438	1.604705338
439	1.602386645
440	1.602057024
441	1.600881173
442	1.600069206
443	1.598847352
444	1.598155506
445	1.597935984
446	1.596749955
447	1.596026301
448	1.595298015
449	1.595070197
450	1.593075372
451	1.591849684
452	1.591213617
453	1.591132015
454	1.590448799
455	1.589280007
456	1.589096273
457	1.588326229
458	1.588235718
459	1.587321619
460	1.586492763
461	1.585591718
462	1.584697623
463	1.584497435
464	1.583760787
465	1.582298685
466	1.581921571
467	1.581074961
468	1.580396937
469	1.579799919
470	1.579721424
471	1.579148824
472	1.578657738
473	1.577175782
474	1.576060768
475	1.575837544
476	1.574731446
477	1.574063044
478	1.572974344
479	1.572687689
480	1.57167802
481	1.571149396
482	1.57056322
483	1.569704453
484	1.5678416
485	1.567744131
486	1.567357932
487	1.566599162
488	1.56620356
489	1.565454619
490	1.564058215
491	1.563720252
492	1.562220539
493	1.559322748
494	1.558670361
495	1.55765033
496	1.556613448
497	1.554460323
498	1.553842321
499	1.552538104
500	1.551916236
501	1.551858395
502	1.551202227
503	1.550587644
504	1.550019581
505	1.549098236
506	1.54831767
507	1.546992696
508	1.546329717
509	1.545548773
510	1.544516977
511	1.543105347
512	1.542261094
513	1.541122126
514	1.539327326
515	1.537553333
516	1.535490642
517	1.53304503
518	1.532406991
519	1.53142201
520	1.531160155
521	1.530759446
522	1.530205904
523	1.530139892
524	1.529026459
525	1.528147127
526	1.527480815
527	1.526450894
528	1.524752523
529	1.523898374
530	1.523661778
531	1.521531974
532	1.519918818
533	1.517445362
534	1.516304166
535	1.514808628
536	1.514440078
537	1.51319014
538	1.511702121
539	1.510904441
540	1.508591409
541	1.507887106
542	1.507586999
543	1.506396124
544	1.505359121
545	1.504332674
546	1.503667935
547	1.502608754
548	1.501378841
549	1.500717679
550	1.49994806
551	1.49858924
552	1.497734734
553	1.496641409
554	1.495487571
555	1.495411764
556	1.494833888
557	1.493902726
558	1.492481655
559	1.491996988
560	1.491154454
561	1.490015655
562	1.489121883
563	1.488301877
564	1.488230737
565	1.487118996
566	1.486050257
567	1.484894575
568	1.484000311
569	1.483521514
570	1.482162426
571	1.481229279
572	1.480355664
573	1.479536135
574	1.479219284
575	1.478189004
576	1.477606387
577	1.476526118
578	1.475793879
579	1.475750862
580	1.475440071
581	1.473645166
582	1.471701005
583	1.470718564
584	1.470663501
585	1.469793024
586	1.469482489
587	1.46836811
588	1.468077499
589	1.467180753
590	1.465194892
591	1.464217215
592	1.463431566
593	1.462881199
594	1.460826759
595	1.460061477
596	1.459508604
597	1.458968536
598	1.458279461
599	1.457127933
600	1.456300003
601	1.455514385
602	1.453875564
603	1.452981195
604	1.452344053
605	1.452031359
606	1.451235048
607	1.450693639
608	1.448427732
609	1.447454809
610	1.445890828
611	1.445470005
612	1.444682733
613	1.444348084
614	1.442882787
615	1.442121192
616	1.441343671
617	1.440585569
618	1.438658385
619	1.437925702
620	1.437363882
621	1.437317466
622	1.43651813
623	1.434953718
624	1.434908998
625	1.434866072
626	1.434811899
627	1.433414395
628	1.432714194
629	1.432014511
630	1.431551118
631	1.431082786
632	1.42929551
633	1.428715006
634	1.427140023
635	1.426690768
636	1.425980309
637	1.424283078
638	1.423176951
639	1.422613302
640	1.421753206
641	1.421050086
642	1.42039213
643	1.419783844
644	1.417988554
645	1.416884592
646	1.416119912
647	1.41554519
648	1.4148233
649	1.414114688
650	1.413671511
651	1.412795084
652	1.412363555
653	1.412141578
654	1.411455732
655	1.409955763
656	1.409906017
657	1.408629626
658	1.407323899
659	1.405753835
660	1.405547315
661	1.405498733
662	1.40431988
663	1.403742517
664	1.402877009
665	1.402692567
666	1.401702314
667	1.40136036
668	1.400665712
669	1.400036579
670	1.399735695
671	1.39922818
672	1.397596197
673	1.396940033
674	1.395713993
675	1.395172144
676	1.394719801
677	1.394489231
678	1.394222101
679	1.393568441
680	1.392457534
681	1.391154028
682	1.390077308
683	1.388902628
684	1.388377778
685	1.388343038
686	1.387149347
687	1.386538955
688	1.386133883
689	1.3853148
690	1.384795121
691	1.384751712
692	1.38434584
693	1.383650599
694	1.382539913
695	1.381941981
696	1.379793686
697	1.378169139
698	1.377935238
699	1.37754991
700	1.377298924
701	1.376407787
702	1.375587964
703	1.374474862
704	1.374099819
705	1.373422615
706	1.373380067
707	1.372581157
708	1.371019048
709	1.37097775
710	1.369861751
711	1.369536133
712	1.368939396
713	1.368584379
714	1.368239266
715	1.367633941
716	1.367460333
717	1.366869843
718	1.364870738
719	1.364380583
720	1.362845012
721	1.361742627
722	1.361355389
723	1.360810438
724	1.360119213
725	1.358828926
726	1.358375509
727	1.357296277
728	1.356529685
729	1.356303265
730	1.355647454
731	1.353604739
732	1.353564376
733	1.352985648
734	1.352450088
735	1.35182577
736	1.350576246
737	1.350363564
738	1.349544042
739	1.349163331
740	1.349124239
741	1.348567865
742	1.348212818
743	1.347323067
744	1.346721015
745	1.346105801
746	1.346068522
747	1.345798394
748	1.345630095
749	1.345269582
750	1.344138327
751	1.343410758
752	1.343384292
753	1.342626396
754	1.342094386
755	1.34146234
756	1.341147129
757	1.339297328
758	1.33897126
759	1.33873569
760	1.336816957
761	1.336638337
762	1.335326506
763	1.334666573
764	1.334162599
765	1.333218214
766	1.33261814
767	1.332136636
768	1.330280392
769	1.330008846
770	1.329968278
771	1.329231172
772	1.328801155
773	1.328255712
774	1.326994981
775	1.326419362
776	1.325901909
777	1.325230437
778	1.324702969
779	1.323512356
780	1.322944067
781	1.322347727
782	1.321439077
783	1.319632603
784	1.318593854
785	1.318243205
786	1.316894554
787	1.315493429
788	1.314738847
789	1.312954351
790	1.311929913
791	1.311377398
792	1.31107046
793	1.310476277
794	1.309948222
795	1.309702962
796	1.308912959
797	1.308201774
798	1.306603594
799	1.305778821
800	1.305262252
801	1.304461691
802	1.302872324
803	1.301116242
804	1.300732985
805	1.300331991
806	1.299941455
807	1.299503737
808	1.298902073
809	1.297832071
810	1.297401333
811	1.297189052
812	1.295504551
813	1.295445029
814	1.295225525
815	1.293557009
816	1.293177226
817	1.292675222
818	1.291328695
819	1.290953811
820	1.290224289
821	1.289637181
822	1.287921745
823	1.286535054
824	1.286043746
825	1.285820204
826	1.284685102
827	1.283968495
828	1.283494323
829	1.282519982
830	1.281471658
831	1.280977738
832	1.280194227
833	1.279322522
834	1.278140144
835	1.277198933
836	1.275945903
837	1.275135428
838	1.27425166
839	1.273263603
840	1.273086048
841	1.272619509
842	1.271906108
843	1.270557673
844	1.270036225
845	1.26881549
846	1.268094282
847	1.267615405
848	1.267023815
849	1.266673578
850	1.265929084
851	1.265616157
852	1.265081197
853	1.264694869
854	1.263486199
855	1.262182453
856	1.261485856
857	1.260197472
858	1.259239432
859	1.258603163
860	1.257534883
861	1.256560623
862	1.256320529
863	1.254869828
864	1.254849664
865	1.25345344
866	1.252335828
867	1.250871279
868	1.249378427
869	1.248767375
870	1.247466553
871	1.246237196
872	1.245706786
873	1.245017467
874	1.244401772
875	1.24358172
876	1.242742966
877	1.242269609
878	1.241633984
879	1.240337143
880	1.239842536
881	1.239347154
882	1.23799399
883	1.236994825
884	1.236288951
885	1.235180423
886	1.234346306
887	1.233419075
888	1.232943629
889	1.232074623
890	1.230963821
891	1.2301786
892	1.229609928
893	1.229529438
894	1.228248378
895	1.226921757
896	1.22562225
897	1.225099904
898	1.224253591
899	1.223993875
900	1.223717638
901	1.223359069
902	1.222874293
903	1.222427943
904	1.221963876
905	1.22136066
906	1.221093575
907	1.220649817
908	1.219615262
909	1.219355704
910	1.218924293
911	1.218490045
912	1.218069537
913	1.216743593
914	1.216302222
915	1.216188162
916	1.216099441
917	1.215304256
918	1.214871317
919	1.214231423
920	1.213154286
921	1.212125183
922	1.211752984
923	1.210748278
924	1.20931729
925	1.207872468
926	1.207767353
927	1.207188455
928	1.206247651
929	1.205258759
930	1.20491476
931	1.203957435
932	1.203855079
933	1.203617221
934	1.202351601
935	1.201789033
936	1.201506412
937	1.20100102
938	1.199713315
939	1.198869315
940	1.198698128
941	1.198271419
942	1.197848987
943	1.196236581
944	1.195597528
945	1.195000138
946	1.194604537
947	1.193996811
948	1.193535509
949	1.192367183
950	1.191963999
951	1.191869961
952	1.191460032
953	1.190069205
954	1.189069575
955	1.188994249
956	1.187491046
957	1.187105076
958	1.186557526
959	1.186260213
960	1.18489936
961	1.184490559
962	1.184252321
963	1.183243021
964	1.182904436
965	1.182394142
966	1.180791951
967	1.180453516
968	1.17977979
969	1.179375434
970	1.178592809
971	1.178269167
972	1.177986509
973	1.177607488
974	1.177366935
975	1.177052482
976	1.176034836
977	1.175655509
978	1.174084186
979	1.17401116
980	1.173140047
981	1.172439013
982	1.171678217
983	1.170265784
984	1.169960261
985	1.169470596
986	1.168510341
987	1.168238546
988	1.167422947
989	1.16617199
990	1.165929086
991	1.165342026
992	1.164850375
993	1.164779137
994	1.163913018
995	1.163161851
996	1.162856447
997	1.162470307
998	1.162014593
999	1.161595495
